Common Name,Difficulty,Sow Start,Sow End,Plant Out Start,Plant Out End,Flower Start,Flower End,Germ Temp Min (°C),Germ Temp Max (°C),Germ Days Min,Germ Days Max,Height (cm),Spread (cm),Spacing (cm),Light,Water Need,Pollinator Friendly,How to Overwinter,Notes,,
Acroclinium (Helipterum),Easy,Feb,Apr,May,Jun,Jun,Sep,15,20,7,14,40,25,20,Full Sun,Dry,Yes,,,,
Ageratum,Easy,Feb,Apr,May,Jun,Jun,Oct,20,24,5,10,30,30,20,Full Sun,Moderate,Yes,"Take cuttings, Lift and pot plant before first frost.","Sow on surface, needs light to germinate.",,
Agrostemma (Corncockle),Easy,Feb,Apr,Apr,May,Jun,Aug,12,18,7,14,75,30,25,Full Sun,Moderate,Yes,,,,
Alyssum,Easy,Feb,Apr,Apr,May,May,Oct,16,21,5,10,15,25,20,Full Sun,Moderate,Yes,,,,
Xeranthemum (Everlasting Flower),Easy,Feb,Apr,Apr,May,Jun,Aug,18,21,10,14,60,30,30,Full Sun,Dry,Yes,,Needs warmth. Taller varieties need staking.,,
Ammi majus,Easy,Feb,Apr,Apr,May,Jun,Sep,15,20,10,21,100,40,40,Full Sun,Moderate,Yes,,,,
Anethum (Dill),Easy,Feb,Apr,Apr,Aug,Jun,Sep,12,21,7,21,80,30,30,Full Sun,Moderate,Yes,,,,
Anchusa (Cape Forget-Me-Not),Easy,Feb,May,Apr,May,Jun,Aug,18,21,14,21,45,30,30,Full Sun,Moderate,Yes,,,,
Antirrhinum (Snapdragon),Easy,Feb,Apr,May,Jun,Jun,Oct,18,21,10,21,90,30,30,Full Sun,Moderate,Yes,"Take cuttings, Lift and pot plant before first frost.",Pinch out tips when 10 cm tall for bushier growth.,,
Arctotis,Easy,Mar,Apr,May,Jun,Jul,Sep,18,21,14,21,40,30,30,Full Sun,Dry,Yes,Lift and pot plant before first frost.,,,
Asarina,Moderate,Feb,Mar,May,Jun,Jul,Oct,20,24,14,28,200,40,30,Full Sun,Moderate,Yes,"Take cuttings, Lift and pot plant before first frost.",,,
China Aster (Callistephus chinensis),Easy,Feb,May,May,Jun,Jul,Oct,18,21,8,14,60,30,30,Full Sun,Moderate,Yes,,,,
Begonia (Fibrous),Difficult,Jan,Mar,May,Jun,Jun,Oct,22,26,15,60,20,25,25,Partial Shade,Moist,No,Lift and pot plant before first frost.,,,
English Daisy (Bellis perennis),Easy,Jun,Aug,Sep,Oct,Mar,Jun,18,21,10,14,15,20,20,Full Sun,Moist,Yes,Leave in ground (fully hardy) Mulch in Winter.,,,
Bells of Ireland (Moluccella laevis),Moderate,Mar,Apr,Apr,May,Jul,Sep,15,18,21,40,90,30,30,Full Sun,Moderate,Yes,,Needs a period of cold to germinate well (stratification). Sow in a cold polytunnel.,,
Brachyscome,Easy,Feb,Apr,May,Jun,Jun,Sep,18,24,14,20,25,30,30,Full Sun,Moderate,Yes,,,,
Bupleurum,Easy,Mar,May,Apr,May,Jul,Aug,15,20,10,21,75,30,30,Full Sun,Moderate,Yes,,,,
Calendula,Easy,Mar,Jun,Apr,Jul,Jun,Oct,15,20,10,14,60,45,45,Full Sun,Dry-Mod,Yes,,,,
Canterbury Bells,Easy,May,Jul,Aug,Sep,Jun,Jul,18,21,14,28,90,30,30,Full Sun,Moist,Yes,Leave in ground (fully hardy) Mulch in Winter.,,,
Carthamus (Safflower),Easy,Mar,May,Apr,May,Jul,Aug,18,22,10,15,75,30,30,Full Sun,Dry,Yes,,,,
Celosia,Moderate,Mar,Apr,May,Jun,Jul,Sep,21,24,14,21,60,30,30,Full Sun,Moist,Yes,,,,
Cerinthe,Easy,Mar,Sep,Apr,Oct,May,Jul,18,22,10,21,60,40,40,Full Sun,Moderate,Yes,,Soak seeds overnight. Can be sown directly.,,
Clarkia (Godetia),Easy,Mar,May,Apr,May,Jul,Aug,18,21,14,21,75,30,30,Full Sun,Moderate,Yes,,,,
Cleome,Moderate,Mar,Apr,May,Jun,Jul,Sep,21,24,10,14,120,45,45,Full Sun,Moderate,Yes,,,,
Cobaea scandens,Moderate,Feb,Mar,May,Jun,Jul,Oct,18,22,14,28,400,100,150,Full Sun,Moist,Yes,"Take cuttings, Lift and pot plant before first frost.",,,
Coleus,Easy,Feb,Apr,May,Jun,N/A,N/A,21,24,10,20,45,40,40,Shade,Moist,No,"Take cuttings, Lift and pot plant before first frost.",Grown for foliage. Pinch out tips and remove flower spikes.,,
Cornflower,Easy,Mar,May,Apr,Jun,Jun,Sep,15,20,14,28,90,30,30,Full Sun,Dry-Mod,Yes,,,,
Cosmos,Easy,Mar,May,May,Jun,Jul,Oct,18,24,7,14,120,60,60,Full Sun,Moderate,Yes,,,,
Craspedia (Billy Buttons),Moderate,Feb,Apr,May,Jun,Jul,Sep,20,24,14,21,60,25,25,Full Sun,Dry-Mod,Yes,Lift and pot plant before first frost.,,,
Dahlia (Bedding),Easy,Feb,Apr,May,Jun,Jul,Oct,18,22,7,21,60,45,45,Full Sun,Moist,Yes,Lift Tubers before first frost; store dry and frost-free.,,,
Datura,Moderate,Feb,Mar,May,Jun,Jul,Sep,21,25,14,40,90,60,60,Full Sun,Moist,Yes,Lift and pot plant before first frost.,All parts are highly toxic. Soak seeds for 24 hours.,,
Digitalis (Foxglove),Easy,Apr,Jun,Jun,Sep,Jun,Jul,15,20,14,21,150,60,60,Partial Shade,Moderate,Yes,Leave in ground (fully hardy) Mulch in Winter.,Sow on surface – needs light to germinate.,,
Eschscholzia (California Poppy),Easy,Mar,May,Apr,May,Jun,Sep,16,20,10,21,30,30,30,Full Sun,Dry,Yes,,,,
Gazania,Moderate,Feb,Apr,May,Jun,Jul,Oct,18,21,10,20,25,25,25,Full Sun,Dry,Yes,Lift and pot plant before first frost.,,,
Gerbera,Difficult,Feb,Apr,May,Jun,Jun,Sep,21,24,14,28,40,30,30,Full Sun,Moderate,Yes,Lift and pot plant before first frost.,,,
Gourd (Ornamental),Easy,Apr,May,May,Jun,Aug,Sep,20,25,7,14,200,100,100,Full Sun,Moist,Yes,,,,
Gypsophila (Annual),Easy,Mar,May,Apr,Jun,Jun,Aug,18,21,10,15,60,30,30,Full Sun,Moderate,Yes,,,,
Helichrysum (Strawflower),Easy,Feb,Apr,May,Jun,Jul,Sep,21,24,7,10,90,30,30,Full Sun,Dry,Yes,,,,
Heliotrope,Moderate,Feb,Mar,May,Jun,Jul,Sep,18,21,14,28,45,30,30,Full Sun,Moist,Yes,"Take cuttings, Lift and pot plant before first frost.",,,
Impatiens (Busy Lizzie),Moderate,Feb,Apr,May,Jun,Jun,Oct,21,24,14,21,30,35,35,Shade,Moist,No,Take cuttings.,,,
Ipomoea (Morning Glory),Easy,Mar,Apr,May,Jun,Jul,Oct,20,24,5,14,250,30,30,Full Sun,Moderate,Yes,,Soak seeds before sowing.,,
Larkspur (Annual Delphinium),Easy,Mar,Sep,Apr,Oct,Jun,Aug,12,15,14,21,90,30,30,Full Sun,Moist,Yes,,,,
Annual Mallow (Lavatera trimestris),Easy,Mar,May,Apr,May,Jul,Sep,18,21,15,20,100,60,60,Full Sun,Moderate,Yes,,,,
Limnanthes (Poached Egg Plant),Easy,Mar,May,Apr,May,Jun,Sep,15,18,10,21,20,20,20,Full Sun,Moist,Yes,,,,
Linaria (Toadflax),Easy,Mar,May,Apr,May,Jun,Aug,16,20,14,21,30,20,20,Full Sun,Moderate,Yes,,,,
Linum (Flax),Easy,Mar,May,Apr,May,Jun,Aug,18,21,14,20,45,25,25,Full Sun,Dry,Yes,,,,
Lobelia (Annual),Moderate,Feb,Apr,May,Jun,Jun,Oct,18,24,14,28,15,20,20,Partial Shade,Moist,Yes,,,,
Lunaria (Honesty),Easy,Apr,Jun,May,Jul,Apr,Jun,18,21,14,21,90,30,30,Partial Shade,Moderate,Yes,,,,
Marigold (Tagetes),Easy,Mar,May,May,Jun,Jun,Oct,21,24,5,14,30,30,30,Full Sun,Moderate,Yes,,,,
Mimulus,Easy,Feb,Apr,May,Jun,Jun,Sep,15,18,7,14,25,25,25,Partial Shade,Moist,Yes,Lift and pot plant before first frost.,,,
Mina lobata (Spanish Flag),Moderate,Mar,Apr,May,Jun,Aug,Oct,20,24,14,21,300,50,60,Full Sun,Moist,Yes,"Take cuttings, Lift and pot plant before first frost.",,,
Mirabilis (Four O'Clock Flower),Easy,Mar,Apr,May,Jun,Jul,Sep,18,21,7,14,90,60,60,Full Sun,Moist,Yes,Lift Tubers before first frost; store dry and frost-free.,,,
Myosotis (Forget-Me-Not),Easy,May,Jul,Aug,Sep,Apr,Jun,18,20,10,21,30,25,25,Partial Shade,Moist,Yes,Leave in ground (fully hardy) Mulch in Winter.,,,
Nasturtium,Easy,Apr,Jun,May,Jun,Jun,Oct,15,20,7,14,30,200,45,Full Sun,Poor/Dry,Yes,,,,
