Common Name,Cutting Type,Difficulty,Cut Start,Cut End,Plant Out Start,Plant Out End,Flower Start,Flower End,Root Temp Min (°C),Root Temp Max (°C),Root Days Min,Root Days Max,Height (cm),Spread (cm),Spacing (cm),Light,Water Need,Evergreen/ Deciduous,Pollinator Friendly,How to Overwinter
Abelia,Semi-ripe,Moderate,Jun,Aug,Sep,Oct,Jul,Oct,18,22,40,60,200,200,200,Full Sun,Moist,Semi-Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.
Abutilon,Softwood,Moderate,Apr,Jul,May,Aug,Jun,Sep,20,24,21,35,200,150,150,Full Sun,Moist,Evergreen,Yes,Lift and pot plant before first frost.
Acer (Japanese Maple),Softwood,Very Difficult,Apr,Jun,Sep,Oct,N/A,N/A,15,18,90,120,400,400,400,Partial Shade,Moist,Deciduous,No,Leave in ground (fully hardy) Mulch in Winter.
Angelonia,Softwood,Moderate,Apr,Aug,May,Jun,Jun,Sep,21,24,14,21,40,35,35,Full Sun,Moderate,Deciduous,Yes,"Take cuttings, Lift and pot plant before first frost."
Argyranthemum,Softwood,Easy,Apr,Aug,May,Jun,Jun,Oct,18,21,14,21,60,50,50,Full Sun,Moderate,Evergreen,Yes,"Take cuttings, Lift and pot plant before first frost."
Aucuba,Semi-ripe,Easy,Jul,Oct,Sep,Oct,Mar,Apr,15,20,60,90,150,150,150,Partial Shade,Moist,Evergreen,No,Leave in ground (fully hardy) Mulch in Winter.
Azalea / Rhododendron,Semi-ripe,Very Difficult,Jul,Sep,Apr,May,May,Jun,18,22,90,180,150,150,150,Partial Shade,Moist,Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.
Bacopa,Softwood,Easy,Apr,Aug,May,Jun,Jun,Oct,18,21,14,21,15,60,60,Partial Shade,Moist,Deciduous,Yes,"Take cuttings, Lift and pot plant before first frost."
Berberis,Semi-ripe,Moderate,Jul,Sep,Sep,Oct,Apr,May,15,20,60,90,200,150,150,Full Sun,Moist,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.
Betula (Birch),Softwood,Very Difficult,Apr,Jun,Sep,Oct,N/A,N/A,18,22,60,90,1500,700,700,Full Sun,Moist,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.
Bidens,Softwood,Easy,Apr,Jul,May,Jun,Jun,Sep,21,24,14,21,30,30,30,Full Sun,Moist,Deciduous,Yes,"Take cuttings, Lift and pot plant before first frost."
Bougainvillea,Softwood,Moderate,Apr,Jul,May,Jul,N/A,N/A,24,27,30,40,400,200,200,Full Sun,Moist,Evergreen,No,Lift and pot plant before first frost.
Buddleja,Semi-ripe,Easy,Jun,Sep,Sep,Oct,Jul,Sep,18,22,21,30,300,300,300,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.
Calibrachoa (Million Bells),Softwood,Easy,Apr,Aug,May,Jun,Jun,Oct,21,24,14,21,20,40,40,Full Sun,Moderate,Deciduous,Yes,"Take cuttings, Lift and pot plant before first frost."
Camellia,Semi-ripe,Difficult,Jul,Sep,Apr,May,Apr,May,21,24,60,90,300,250,250,Partial Shade,Moist,Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.
Caryopteris,Softwood,Moderate,Apr,Jun,Sep,Oct,Aug,Oct,20,24,21,30,100,100,100,Full Sun,Moist,Deciduous,Yes,Cut back stems in autumn.
Ceanothus,Semi-ripe,Moderate,Jul,Oct,Apr,May,May,Jul,18,22,60,90,200,250,250,Full Sun,Dry,Evergreen,Yes,Mulch in Winter.
Chaenomeles (Quince),Semi-ripe,Moderate,Jul,Sep,Apr,May,Mar,May,18,22,50,70,150,200,200,Partial Shade,Moderate,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.
Choisya,Semi-ripe,Moderate,Jun,Oct,Sep,Oct,May,Jun,20,24,40,60,250,250,250,Partial Shade,Moderate,Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.
Chrysanthemum,Softwood,Easy,Apr,Aug,May,Jun,Sep,Nov,18,21,14,21,100,60,60,Full Sun,Moist,Deciduous,Yes,Cut back stems in autumn.
Clematis,Softwood,Moderate,Apr,Jun,Sep,Oct,Varies,Varies,15,20,60,90,300,100,100,Partial Shade,Moist,Deciduous/ Evergreen,Yes,Cut back stems in autumn.
Conifer (General),Semi-ripe,Moderate,Aug,Oct,Apr,May,N/A,N/A,15,20,90,180,800,300,300,Full Sun,Moderate,Evergreen,No,Leave in ground (fully hardy) Mulch in Winter.
Coprosma,Semi-ripe,Moderate,Jul,Sep,Apr,May,N/A,N/A,18,22,60,90,150,150,150,Full Sun,Moderate,Evergreen,No,Mulch in Winter.
Cordyline,Hardwood,Moderate,Mar,May,Jun,Jul,Jul,Aug,18,22,60,90,400,150,150,Full Sun,Dry-Mod,Evergreen,No,Mulch in Winter.
Cornus (Dogwood),Hardwood,Easy,Oct,Jan,Mar,Apr,May,Jun,5,10,90,120,250,250,250,Partial Shade,Moist,Deciduous,Yes,Cut back stems in autumn.
Corylus (Hazel),Hardwood,Easy,Oct,Dec,Mar,Apr,Feb,Mar,5,10,90,120,400,300,300,Full Sun,Moist,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.
Cotinus (Smoke Bush),Softwood,Moderate,Apr,Jun,Sep,Oct,Jun,Jul,18,22,30,60,500,500,500,Full Sun,Moist,Deciduous,No,Cut back stems in autumn.
Cytisus (Broom),Semi-ripe,Moderate,Jul,Sep,Apr,May,Apr,May,15,20,40,60,150,150,150,Full Sun,Dry,Deciduous,Yes,Cut back after flowering.
Dahlia,Softwood,Easy,Mar,May,May,Jun,Jul,Oct,18,24,14,21,120,60,60,Full Sun,Moist,Deciduous,Yes,Lift Tubers before first frost; store dry and frost-free.
Daphne,Semi-ripe,Difficult,Jul,Sep,Apr,May,Mar,Apr,15,20,60,90,150,150,150,Partial Shade,Moist,Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.
Deutzia,Softwood,Easy,Apr,Jun,Sep,Oct,May,Jun,18,22,21,30,200,200,200,Full Sun,Moist,Deciduous,Yes,Cut back after flowering.
Diascia,Softwood,Easy,Apr,Aug,May,Jun,Jun,Sep,18,21,14,21,25,40,40,Full Sun,Moist,Deciduous,Yes,"Take cuttings, Lift and pot plant before first frost."
Erysimum (Perennial),Semi-ripe,Easy,Jul,Sep,Apr,May,Mar,Jul,15,20,21,30,45,45,45,Full Sun,Moist,Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.
Euonymus,Semi-ripe,Easy,Jul,Sep,Apr,May,Apr,May,15,20,40,60,150,150,150,Partial Shade,Moist,Evergreen,No,Leave in ground (fully hardy) Mulch in Winter.
Euphorbia,Semi-ripe,Moderate,Jul,Sep,Apr,May,Apr,Jun,18,22,30,45,100,100,100,Full Sun,Dry,Evergreen,No,Cut back stems in autumn.
Forsythia,Softwood,Easy,Apr,Jun,Sep,Oct,Mar,Apr,15,20,14,21,300,300,300,Full Sun,Moist,Deciduous,Yes,Cut back after flowering.
Fuchsia (Hardy),Softwood,Easy,Apr,Jul,Aug,Sep,Jul,Oct,18,22,21,30,100,100,100,Partial Shade,Moist,Deciduous,Yes,Cut back stems in autumn.
Fuchsia (Tender),Softwood,Easy,Apr,Aug,May,Jun,Jun,Oct,21,24,14,21,60,60,60,Partial Shade,Moist,Evergreen,Yes,"Take cuttings, Lift and pot plant before first frost."
Gardenia,Semi-ripe,Difficult,Jun,Aug,Apr,May,Jun,Aug,24,28,40,60,100,100,100,Partial Shade,Moist,Evergreen,No,Lift and pot plant before first frost.
Hamamelis (Witch Hazel),Hardwood,Difficult,Nov,Feb,Mar,Apr,Jan,Mar,1,5,120,180,300,300,300,Partial Shade,Moist,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.
Heather (Calluna/Erica),Semi-ripe,Moderate,Jul,Oct,Apr,May,Varies,Varies,15,20,60,90,30,45,45,Full Sun,Moist,Evergreen,Yes,Cut back after flowering.
Hebe,Semi-ripe,Easy,Jul,Oct,Apr,May,Jun,Sep,18,22,30,45,60,90,90,Full Sun,Moist,Evergreen,Yes,Mulch in Winter.
Helianthemum (Rock Rose),Softwood,Easy,Apr,Jul,Aug,Sep,May,Jul,18,22,21,30,20,50,50,Full Sun,Dry,Evergreen,Yes,Cut back after flowering.
Hibiscus syriacus (Rose of Sharon),Softwood,Moderate,Apr,Jul,Aug,Sep,Aug,Sep,22,26,40,60,250,200,200,Full Sun,Moist,Deciduous,Yes,Cut back stems in autumn.
Holly (Ilex),Semi-ripe,Difficult,Aug,Oct,Apr,May,May,Jun,15,20,90,180,800,400,400,Partial Shade,Moist,Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.
Hydrangea,Semi-ripe,Easy,Jul,Sep,Apr,May,Jun,Sep,18,22,30,45,150,200,200,Partial Shade,Moist,Deciduous,No,Cut back stems in autumn.
Hypericum (St. John's Wort),Semi-ripe,Easy,Jul,Sep,Apr,May,Jun,Sep,18,22,30,45,100,100,100,Full Sun,Moist,Deciduous,Yes,Cut back stems in autumn.
Kalmia (Mountain Laurel),Semi-ripe,Difficult,Jul,Sep,Apr,May,May,Jun,20,24,90,120,150,150,150,Partial Shade,Moist,Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.
Lamium,Softwood,Easy,Apr,Aug,May,Sep,May,Jul,15,20,14,21,20,60,60,Shade,Moist,Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.
Lantana,Softwood,Moderate,Jun,Aug,May,Jun,Jul,Oct,21,24,21,30,120,90,90,Full Sun,Dry-Mod,Evergreen,Yes,"Take cuttings, Lift and pot plant before first frost."
Lavatera (Shrubby) → Malva (Tree Mallow),Softwood,Easy,Apr,Aug,May,Jun,Jun,Oct,18,22,21,30,150,150,150,Full Sun,Moist,Deciduous,Yes,Cut back stems in autumn.
Lavender,Semi-ripe,Easy,Jul,Sep,Apr,May,Jun,Aug,18,22,30,45,60,60,60,Full Sun,Dry,Evergreen,Yes,Cut back after flowering.
Lofos (Lophospermum),Softwood,Moderate,Apr,Jul,May,Jun,Jun,Oct,21,24,21,30,150,60,60,Partial Shade,Moist,Deciduous,No,"Take cuttings, Lift and pot plant before first frost."
Lonicera (Honeysuckle),Softwood,Easy,Apr,Jul,Aug,Sep,Jun,Jul,18,22,21,30,300,150,150,Partial Shade,Moist,Deciduous,Yes,Cut back stems in autumn.
Magnolia,Semi-ripe,Difficult,Jul,Sep,Apr,May,Apr,May,20,24,90,120,800,600,600,Partial Shade,Moist,Deciduous/ Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.
Mahonia,Semi-ripe,Moderate,Jul,Sep,Apr,May,Nov,Mar,15,20,60,90,200,250,250,Partial Shade,Moist,Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.
Origanum (Oregano),Softwood,Easy,May,Aug,Jun,Jul,Jul,Sep,18,21,14,21,45,30,30,Full Sun,Dry,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.
Osteospermum,Softwood,Easy,Apr,Aug,May,Jun,Jun,Oct,18,22,21,30,30,60,60,Full Sun,Dry,Deciduous,Yes,"Take cuttings, Lift and pot plant before first frost."
Passion Flower (Passiflora caerulea),Semi-ripe,Moderate,Jun,Aug,Apr,May,Jul,Sep,18,24,40,60,400,150,50,Full Sun,Moist,Evergreen,Yes,Mulch in Winter.
Pelargonium (Tender Geranium),Softwood,Easy,Apr,Sep,May,Jun,Jun,Oct,18,21,14,21,45,40,40,Full Sun,Dry-Mod,Evergreen,No,"Take cuttings, Lift and pot plant before first frost."
Penstemon,Softwood,Easy,Apr,Jul,May,Jun,Jun,Oct,18,22,21,30,60,50,50,Full Sun,Moist,Deciduous,Yes,Mulch in Winter.
Salvia yangii (Russian Sage),Softwood,Easy,Apr,Jul,May,Jun,Jul,Oct,18,22,21,30,120,90,90,Full Sun,Dry,Deciduous,Yes,Cut back stems in autumn.
Philadelphus (Mock Orange),Softwood,Easy,Apr,Jun,Sep,Oct,Jun,Jul,18,22,21,30,300,300,300,Full Sun,Moist,Deciduous,Yes,Cut back after flowering.
Photinia,Semi-ripe,Moderate,Jul,Sep,Apr,May,Apr,May,20,24,60,80,400,400,400,Full Sun,Moist,Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.
Physocarpus (Ninebark),Softwood,Moderate,Apr,Jul,Sep,Oct,Jun,Jul,18,22,30,60,300,300,300,Full Sun,Moist,Deciduous,Yes,Cut back stems in autumn.
Pieris,Semi-ripe,Difficult,Jul,Sep,Apr,May,Apr,May,18,22,60,90,150,150,150,Partial Shade,Moist,Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.
Pittosporum,Semi-ripe,Moderate,Jul,Sep,Apr,May,Apr,May,20,24,60,90,300,200,200,Full Sun,Moist,Evergreen,No,Mulch in Winter.
Plectranthus,Softwood,Easy,Apr,Aug,May,Jun,Jul,Sep,21,24,14,21,20,80,80,Partial Shade,Moist,Evergreen,No,"Take cuttings, Lift and pot plant before first frost."
Potentilla (Shrubby Cinquefoil),Semi-ripe,Easy,Jul,Sep,Apr,May,Jun,Aug,18,22,30,45,100,100,100,Full Sun,Moist,Deciduous,Yes,Cut back stems in autumn.
Prunus (Flowering Cherry/Laurel),Semi-ripe,Moderate,Jul,Sep,Apr,May,Mar,Apr,15,20,60,90,500,400,400,Full Sun,Moist,Deciduous/ Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.
Pyracantha (Firethorn),Semi-ripe,Easy,Jul,Sep,Apr,May,May,Jun,18,22,60,90,300,300,300,Full Sun,Moist,Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.
Roses (Shrub/Bush),Hardwood,Moderate,Oct,Jan,Mar,Apr,Jun,Aug,5,10,90,120,150,150,150,Full Sun,Moist,Deciduous,Yes,Cut back stems in autumn.
Salix (Willow),Hardwood,Easy,Oct,Feb,Mar,Apr,Mar,Apr,1,5,60,90,1000,500,500,Full Sun,Moist,Deciduous,Yes,Cut back stems in autumn.
Salvia (Shrubby types),Softwood,Easy,Apr,Jul,Aug,Sep,Jun,Oct,18,22,21,30,120,90,90,Full Sun,Moist,Deciduous,Yes,Mulch in Winter.
Sambucus (Elder),Hardwood,Easy,Oct,Jan,Mar,Apr,May,Jun,5,10,60,90,500,400,400,Full Sun,Moist,Deciduous,Yes,Cut back stems in autumn.
