Common Name,Difficulty,Division Start,Division End,Flower Start,Flower End,Height (cm),Spread (cm),Spacing (cm),Light,Water Need,Evergreen/ Deciduous,Pollinator Friendly,How to Overwinter,Notes
Acanthus,Easy,Mar,Apr,Jun,Aug,120,90,90,Partial Shade,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Agapanthus,Moderate,Mar,Apr,Jul,Sep,100,60,60,Full Sun,Moderate,Deciduous,Yes,Mulch in Winter.,
Alchemilla (Lady's Mantle),Easy,Mar,Apr,Jun,Sep,45,50,50,Partial Shade,Moist,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.,
Alstroemeria,Moderate,Mar,Apr,Jun,Oct,75,50,50,Partial Shade,Moist,Deciduous,Yes,Mulch in Winter.,
Anemone (Japanese),Easy,Mar,Apr,Aug,Oct,120,90,90,Partial Shade,Moist,Deciduous,Yes,Cut back stems in autumn.,
Aruncus (Goat's Beard),Easy,Mar,Apr,Jun,Jul,180,120,120,Partial Shade,Moist,Deciduous,Yes,Cut back stems in autumn.,
Astilbe,Easy,Mar,Apr,Jun,Aug,70,50,50,Shade,Moist,Deciduous,Yes,Cut back stems in autumn.,
Astrantia,Easy,Mar,Apr,Jun,Sep,60,45,45,Partial Shade,Moist,Deciduous,Yes,Cut back stems in autumn.,
Bergenia,Easy,Mar,Apr,Apr,May,40,50,50,Partial Shade,Moderate,Evergreen,Yes,Leave in ground (fully hardy) Mulch in Winter.,
Brunnera,Easy,Mar,Apr,Apr,May,45,60,60,Shade,Moist,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.,
Canna,Easy,Mar,Apr,Jul,Oct,150,60,60,Full Sun,Moist,Deciduous,Yes,Lift Tubers before first frost; store dry and frost-free.,
Convallaria (Lily-of-the-Valley),Easy,Sep,Oct,May,Jun,25,30,30,Shade,Moist,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.,
Coreopsis (Perennial),Easy,Mar,Apr,Jul,Sep,45,45,45,Full Sun,Moderate,Deciduous,Yes,Cut back after flowering.,Divide every 2-3 years.
