Common Name,Difficulty,Sow Start ,Sow End,Plant Out Start ,Plant Out End,Flower Start,Flower End,Germ Temp Min (°C),Germ Temp Max (°C),Germ Days Min,Germ Days Max,Height (cm),Spread (cm),Spacing (cm),Light,Water Need,Evergreen/ Deciduous,Pollinator Friendly,How to Overwinter,Notes
Acanthus (Bear’s breeches),Moderate,Mar,May,May,Sep,Jun,Aug,15,20,21,35,120,90,90,Partial Shade,Moderate,Deciduous,Yes,Cut back stems in autumn.,"Soak seeds for 24h. Deep taproot, so use deep pots."
Achillea (Yarrow),Easy,Feb,May,May,Sep,Jun,Sep,18,22,10,20,60,60,60,Full Sun,Dry,Semi-Evergreen,Yes,Cut back stems in autumn.,Sow on surface.
Aconitum (Monkshood),Difficult,Sep,Nov,Apr,May,Jun,Aug,15,18,365,730,120,40,40,Partial Shade,Moist,Deciduous,Yes,Cut back stems in autumn.,All parts are highly toxic. Needs Cold stratification.
Agapanthus (Nile lily),Moderate,Feb,Apr,May,Jul,Jul,Sep,15,21,30,90,100,60,60,Full Sun,Moderate,Deciduous,Yes,Mulch in Winter.,
Agastache (Giant hyssop),Easy,Feb,Apr,May,Jun,Jul,Oct,20,25,14,30,90,45,45,Full Sun,Dry–Moderate,Deciduous,Yes,Cut back stems in autumn.,Do not cover seed. Needs warmth.
Alcea (Hollyhock),Easy,Apr,Jun,Jul,Sep,Jun,Sep,15,20,14,21,180,60,60,Full Sun,Moist,Deciduous,Yes,Cut back stems in autumn.,Prone to rust.
Alstroemeria (Peruvian lily),Moderate,Mar,May,Jul,Sep,Jun,Oct,15,20,30,180,75,50,50,Partial Shade,Moist,Deciduous,Yes,Mulch in Winter.,"Needs stratification. Sow and keep warm for 3 weeks, then cold (5°C) for 4 weeks."
Anemone (Japanese Anemone),Difficult,Mar,Apr,Jun,Aug,Aug,Oct,15,18,30,180,120,90,90,Partial Shade,Moist,Deciduous,Yes,Cut back stems in autumn.,Very slow and erratic from seed.
Anthemis (Dyer’s Chamomile),Easy,Mar,May,May,Jun,Jun,Aug,18,21,14,21,60,45,45,Full Sun,Dry,Deciduous,Yes,Cut back after flowering.,
Aquilegia (Columbine),Easy,Jan,May,May,Sep,May,Jul,15,20,21,90,75,40,45,Partial Shade,Moderate,Deciduous,Yes,Leave seed heads for winter.,Can have erratic germination. A cold spell can help.
Arabis (Rock Cress),Easy,Mar,May,May,Jun,Apr,May,18,21,14,28,15,40,40,Full Sun,Moderate,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.,
"Armeria (Thrift, Sea Pink)",Easy,Feb,May,Apr,Jun,May,Jun,16,21,21,35,20,30,30,Full Sun,Moderate,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.,
Aruncus (Goat’s Beard),Moderate,Sep,Nov,Apr,May,Jun,Aug,15,18,30,90,180,120,120,Partial Shade,Moist,Deciduous,Yes,Cut back stems in autumn.,Needs a period of cold stratification.
Asclepias (Milkweed),Easy,Feb,Apr,May,Jun,Jul,Aug,21,24,14,28,90,40,40,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Aster (Perennial daisy),Easy,Mar,May,May,Sep,Aug,Oct,18,22,14,21,100,50,50,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Aubrieta (Rockcress),Easy,Mar,Jun,May,Sep,Apr,Jun,18,21,14,28,10,50,50,Full Sun,Dry,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.,Sow on surface.
Campanula (Bellflower),Easy,Mar,May,May,Sep,Jun,Aug,18,21,14,21,60,45,45,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,"Tiny seeds, sow on the surface as light is needed."
Cardoon (Cynara cardunculus),Easy,Mar,Apr,May,Jun,Jul,Aug,18,22,14,21,180,120,120,Full Sun,Moist,Deciduous,Yes,Mulch in Winter.,Protect from slugs when young.
Catananche (Cupid’s Dart),Easy,Mar,May,May,Jun,Jun,Aug,18,21,14,21,60,30,30,Full Sun,Dry,Deciduous,Yes,Cut back stems in autumn.,
Centaurea (Perennial Cornflower),Easy,Mar,May,May,Jun,Jun,Sep,18,21,14,21,75,60,60,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Centranthus (Red Valerian),Easy,Mar,May,Apr,Jun,Jun,Sep,18,21,14,28,80,50,50,Full Sun,Moderate,Deciduous,Yes,Cut back after flowering.,
Cerastium (Snow-in-Summer),Easy,Mar,May,May,Jun,May,Jun,15,21,14,28,15,60,60,Full Sun,Dry,Deciduous,Yes,Leave in ground (fully hardy) Mulch in Winter.,
Coreopsis (perennial),Easy,Mar,May,May,Jun,Jul,Sep,18,21,14,21,45,45,45,Full Sun,Moderate,Deciduous,Yes,Cut back stems in autumn.,
Delphinium (Larkspur),Moderate,Feb,Apr,May,Sep,Jun,Aug,15,20,14,28,150,75,75,Full Sun,Moist,Deciduous,Yes,Cut back stems in autumn.,Needs a period of cold.
